BENNER,ESTOQUE,ANAMNESE,MICRO,MONITO,MOUSE,ACESS,ERRO,IMPRESSORA,SIHOSP,TEMPO
,0,0,0,0,0,0,0,0,0,23,69774306
0,0,0,0,0,0,0,0,0,0,22,69759259
0,0,0,0,0,0,0,0,0,0,21,69740741
0,0,0,0,0,0,0,0,0,0,20,69726852
0,0,0,0,0,0,0,0,0,0,19,69706019
0,0,0,0,0,0,0,0,0,0,18,69693287
0,0,0,0,0,0,0,0,0,0,37,6997338
0,0,0,0,0,0,0,0,0,0,36,69958333
0,0,0,0,0,0,0,0,0,0,35,69944444
0,0,0,0,0,0,0,0,0,0,34,69931713
0,0,0,0,0,0,0,0,0,0,33,69917824
0,0,0,0,0,0,0,0,0,0,32,69905093
0,0,0,0,0,0,0,0,0,0,31,69891204
0,0,0,0,0,0,0,0,0,0,30,69878472
0,0,0,0,0,0,0,0,0,0,29,69863426
0,0,0,0,0,0,0,0,0,0,28,69847222
0,0,0,0,0,0,0,0,0,0,27,69834491
0,0,0,0,0,0,0,0,0,0,26,69820602
0,0,0,0,0,0,0,0,0,0,25,69806713
0,0,0,0,0,0,0,0,0,0,24,69789352
0,0,0,0,0,0,0,0,0,0,12,66306713
0,0,0,1,0,0,0,0,0,0,0,026157407
0,0,0,1,0,0,0,0,0,0,0,025023148
0,0,0,0,0,0,1,0,0,0,0,294016204
0,0,0,0,0,0,0,0,0,0,7,106388889
0,0,0,0,0,0,0,1,0,0,0,867430556
1,0,0,0,0,0,0,0,0,0,0,113680556
1,0,0,0,0,0,0,0,0,0,0,092349537
0,0,1,0,0,0,0,1,0,0,0,127013889
0,0,0,0,0,1,0,0,0,0,0,041782407
0,0,0,0,0,0,0,0,0,0,7,127337963
0,0,0,0,0,0,0,0,0,1,1,912418981
0,0,0,0,0,0,0,0,1,0,0,755543981
0,0,0,1,0,0,0,0,1,0,23,21028935
0,0,0,0,0,0,0,0,0,0,0,012696759
0,0,0,1,0,0,0,0,0,0,46,03719907
0,0,0,0,1,0,0,0,0,0,7,04943287
0,0,0,0,0,0,0,0,0,0,0,004340278
0,0,0,0,0,0,1,0,0,0,1,016539352
1,0,0,0,0,0,0,0,0,0,0,767361111
0,0,0,0,0,0,0,0,1,0,5,05125
0,0,0,0,0,0,0,0,0,0,49,81534722
0,0,0,0,0,0,0,0,0,0,11,97034722
0,0,0,0,0,0,0,1,0,0,164,7872222
0,0,0,0,0,0,0,0,1,0,0,377152778
0,0,0,1,1,0,0,0,0,0,6,023530093
0,0,0,0,0,0,0,0,1,0,0,331979167
0,0,0,1,0,0,0,0,0,0,1,252673611
0,0,0,0,0,0,0,0,0,0,14,9946412
0,0,0,0,0,0,0,0,0,0,433,0620949
0,0,0,0,0,0,0,0,0,1,0,992546296
0,0,0,0,0,0,0,0,0,0,11,01628472
0,0,0,0,0,0,0,0,0,0,54,80392361
0,0,0,0,0,0,0,0,0,0,0,686655093
0,0,0,1,0,0,0,0,0,0,0,890127315
0,0,0,0,0,0,0,0,0,0,0,199791667
0,0,0,1,0,0,0,0,0,0,1,370810185
0,0,0,0,0,0,1,0,0,0,0,219722222
0,0,0,0,0,0,1,0,0,0,43,07532407
0,0,0,0,0,0,0,0,0,0,2,155243056
0,0,0,0,0,0,0,0,0,0,0,369803241
0,0,0,0,0,0,0,0,0,0,3,77619213
0,0,0,0,0,0,0,0,0,0,1,324166667
0,0,0,0,0,0,0,0,0,0,0,301122685
0,0,0,0,0,0,0,0,0,0,0,298275463
0,0,0,0,0,0,0,0,0,0,27,64108796
0,0,0,0,0,0,0,0,0,0,0,002581019
0,0,0,0,0,0,0,0,0,0,0,113587963
0,0,0,0,0,0,0,0,0,0,0,314606481
0,0,0,0,0,0,0,0,0,0,8,093634259
0,0,0,1,0,0,0,0,0,0,1,949571759
0,0,0,0,0,0,0,0,0,0,1,817650463
0,0,0,1,0,0,0,0,0,0,36,86508102
0,0,0,0,0,0,0,0,1,0,0,126631944
0,0,0,0,0,0,0,0,0,0,0,060914352
0,0,0,0,0,0,0,0,0,0,0,146851852
0,0,0,0,0,0,0,1,0,0,118,2086227
0,0,0,0,0,0,0,0,1,0,6,919351852
0,0,0,1,0,0,0,0,0,0,0,685925926
0,0,0,1,0,0,0,0,0,0,0,979155093
0,0,0,0,0,0,0,0,0,0,0,181238426
0,0,0,1,0,0,0,0,0,0,0,138958333
0,0,0,0,0,0,0,0,0,0,0,055625
0,0,0,0,0,0,0,0,0,0,0,190844907
0,0,0,0,0,0,0,0,0,0,2,033298611
0,0,0,0,0,0,0,0,0,0,42,004375
0,0,0,0,0,0,0,0,1,0,1,022800926
0,0,0,0,0,0,0,0,0,0,0,002199074
0,0,0,0,0,0,0,0,0,0,6,141631944
0,0,0,0,0,0,0,1,1,0,0,090972222
0,0,0,0,0,0,0,1,0,0,0,002256944
0,0,0,0,0,0,0,0,0,0,5,024236111
0,0,0,0,0,0,0,0,0,0,40,01539352
0,0,0,0,0,0,0,0,0,0,40,10226852
0,0,0,0,0,0,0,0,0,0,41,02207176
0,0,0,0,0,0,0,0,0,0,40,97724537
0,0,0,0,1,0,0,0,0,0,0,351574074
0,0,0,0,0,0,0,0,0,0,0,253599537
1,0,0,0,0,0,0,0,0,0,1,077222222
0,0,0,0,0,0,0,0,0,0,4,29806713
