TEMPO,NRO_IMPACTO,QTD_HORAS_PREVISAO,QTD_PARTICIPANTE,TIPO
1.92,4,5,1,BENNER
7.92,4,0.2,1,IMPRESSORA
0.72,4,0.1,1,MICRO
7.92,4,40,1,ACESSO
0.72,4,0.1,1,MICRO
1.2,4,0.1,1,MICRO
4.08,4,1,1,ACESSO
3.12,4,10,1,BENNER
1.92,4,0,1,ERRO
1.92,4,0.1,1,MICRO
9.12,4,25,1,BENNER
24,4,1,1,BENNER
0.48,4,1,1,SIHOSP
1.92,4,10,1,ACESSO
0.72,4,0.1,1,MICRO
4.08,4,1,1,BENNER
48,4,0,1,ACESSO
0.72,4,0.1,1,MICRO
4.08,4,1,1,BENNER
48,4,0,1,ACESSO
4.08,4,1,1,ACESSO
1.2,4,0,1,ACESSO
10.32,4,30,1,BENNER
4.08,4,1,1,ERRO
1.92,4,0,1,IMPRESSORA
12,4,30,1,MICRO
0.72,4,0,1,ERRO
1.2,4,0,1,IMPRESSORA
1.92,4,0.05,1,MICRO
25.2,4,1.11,1,ERRO
12,4,30,1,IMPRESSORA
24,4,1,1,BENNER
0.24,4,0.3,1,BENNER
12,4,0.3,1,BENNER
48,4,2,1,MICRO
12,4,30,1,MICRO
0.24,4,0.2,1,ACESSO
12,4,1,1,BENNER
48,4,2,1,ERRO
12,1,0.3,1,BENNER
0.72,4,0.1,1,MICRO
192,4,8,1,SIHOSP
6,4,0.1,1,MICRO
12,4,0,1,ERRO
4.08,4,0,1,ACESSO
4.08,4,0,1,SIHOSP
0.24,4,0.3,1,BENNER
12,4,0.3,1,SIHOSP
144,4,6,1,MICRO
6,4,15,1,MICRO
0.24,4,0.35,1,IMPRESSORA
6,4,0.1,1,MICRO
0.48,0,1,1,ERRO
24,4,1,1,MICRO
24,4,1,1,ACESSO
6,4,15,1,MICRO
24,4,1,1,ERRO
6,4,15,1,SIHOSP
1.2,4,0,1,ACESSO
24,4,1,1,SIHOSP
4.08,4,10,1,MICRO
0.24,4,0.3,1,IMPRESSORA
55.2,4,2,1,ACESSO
48,4,2,1,MICRO
6,3,0.15,1,ERRO
24,4,1,1,MICRO
0.24,4,0.35,1,ACESSO
1.92,4,0.05,1,ERRO
24,4,1,1,MICRO
0.24,4,0.3,1,ERRO
0.24,4,0.3,1,IMPRESSORA
4.08,4,0,1,ERRO
0.24,4,0.3,1,ACESSO
28.8,4,0.4,1,SIHOSP
0.72,4,0.1,1,MICRO
24,4,1,1,MICRO
4.08,4,0,1,BENNER
96,4,4,1,MICRO
0.24,4,0.3,1,IMPRESSORA
0.24,4,25,1,BENNER
1.2,4,0.1,1,MICRO
6,4,0.15,1,BENNER
17.28,0,0.45,1,BENNER
24,4,1,1,ERRO
48,4,2,1,BENNER
12,4,0.3,1,ACESSO
6,4,20,1,MICRO
0.24,4,0.35,1,ERRO
0.24,4,0.25,1,ACESSO
4.08,4,0,1,ACESSO
24,4,1,1,ERRO
4.08,4,0.1,1,MICRO
24,4,1,1,ACESSO
0.24,4,0.25,1,IMPRESSORA
24,4,1,1,MICRO
24,4,0,1,BENNER
0.72,4,0.1,1,MICRO
12.48,4,55,1,ERRO
4.08,4,1,1,MICRO
4.32,4,0,1,ERRO
408,1,0,1,ERRO
7.92,3,20,1,MICRO
0.24,4,0.3,1,IMPRESSORA
1.92,4,0.1,1,MICRO
12,4,0.3,1,BENNER
0.24,4,0.3,1,IMPRESSORA
1608,1,0,1,ERRO
4.32,4,0,1,BENNER
7.92,4,20,1,MICRO
19.92,4,0.1,1,MICRO
7.92,4,0.1,1,MICRO
12,4,1,1,ACESSO
72,4,3,1,MICRO
0.24,4,0.25,1,MICRO
120,4,30,1,MICRO
24,4,1,1,ACESSO
12,4,0.3,1,ACESSO
24,4,0,1,ACESSO
0.24,4,0.3,1,ACESSO
4.08,4,1,1,MICRO
24,4,1,1,MICRO
7.92,4,0.1,1,IMPRESSORA
13.92,3,58,1,ERRO
1.92,4,0,1,ACESSO
4.08,4,0,1,ACESSO
4.08,4,0.1,1,MICRO
24,4,1,1,BENNER
0.24,4,0.25,1,ACESSO
6,4,0.15,1,BENNER
0.24,4,0.3,1,BENNER
24,4,1,1,MICRO
0.48,4,1,1,ERRO
4.08,4,0,1,ACESSO
6,4,15,1,MICRO
4.8,4,0,1,SIHOSP
28.8,4,1.25,1,SIHOSP
12,4,0.3,1,BENNER
28.8,4,1.25,1,SIHOSP
1.92,4,0.1,1,ERRO
192,4,8,1,MICRO
0.24,4,0.35,1,IMPRESSORA
0.24,4,0.3,1,ACESSO
12,4,0.3,1,ACESSO
0.24,4,0.35,1,IMPRESSORA
6,4,15,1,BENNER
4.08,4,0,1,ACESSO
4.08,4,0,1,ACESSO
12,4,0,1,ACESSO
6,4,0.1,1,MICRO
48,4,2,1,MICRO
72,4,3,1,MICRO
0.72,4,0.1,1,MICRO
288,4,12,1,MICRO
4.08,4,0.1,1,MICRO
7.92,4,0,1,ERRO
4.08,4,0,1,ACESSO
12,4,0.1,1,MICRO
12,4,0.1,1,MICRO
72,4,2.3,1,MICRO
0.72,4,0.1,1,MICRO
48,4,1,1,MICRO
0.24,4,0.35,1,IMPRESSORA
12,4,1,1,ERRO
48,4,2,1,MICRO
4.08,4,10,1,BENNER
120,4,4,1,MICRO
12,4,0.3,1,MICRO
0.24,4,0.3,1,BENNER
48,4,2,1,SIHOSP
4.08,4,1,1,ERRO
24,4,1,1,BENNER
0.72,4,0.1,1,MICRO
0.24,4,0.25,1,BENNER
48,4,2,1,MICRO
144,4,4,1,MICRO
0.24,4,20,1,SIHOSP
24,4,31,1,ERRO
6,0,0.15,1,ERRO
10.08,4,0.1,1,MICRO
24,4,1,1,MICRO
72,4,3,1,MICRO
192,4,8,1,MICRO
0.72,4,0.1,1,MICRO
36.48,4,2,1,ERRO
10.08,4,0.1,1,MICRO
72,4,3,1,MICRO
0.24,4,0.3,1,BENNER
0.48,0,1,1,ACESSO
6,4,15,1,IMPRESSORA
72,4,0.1,1,MICRO
12,4,0.3,1,MICRO
0.24,4,0.4,1,IMPRESSORA
7.92,4,0.1,1,MICRO
1.92,4,0.1,1,MICRO
4.08,4,0.3,1,ACESSO
4.08,4,0.1,1,MICRO
0.24,4,0.35,1,IMPRESSORA
6,4,0.1,1,MICRO
7.68,4,0.25,1,SIHOSP
1.92,4,0.1,1,MICRO
12,4,20,1,SIHOSP
120,4,25,1,IMPRESSORA
24,4,1,1,BENNER
4.08,4,0.05,1,IMPRESSORA
6,4,0.1,1,MICRO
34.8,4,25,1,ERRO
24,4,1,1,ACESSO
7.92,4,20,1,MICRO
0.24,4,0.3,1,SIHOSP
12,4,0.3,1,BENNER
4.08,1,1,1,MICRO
36,4,1.5,1,ERRO
10.08,4,0.25,1,MICRO
4.08,4,0.3,1,ERRO
0.24,4,0.35,1,ACESSO
29.28,4,1.25,1,ERRO
12,4,0.3,1,BENNER
1.92,4,0.1,1,MICRO
12,4,1,1,BENNER
192,4,8,1,MICRO
0.48,4,0.1,1,MICRO
7.92,4,20,1,MICRO
4.08,4,0.1,1,MICRO
24,0,1,1,BENNER
48,4,2,1,MICRO
2.88,4,0.1,1,MICRO
4.08,4,10,1,IMPRESSORA
24,4,1,1,BENNER
16.08,4,0.1,1,IMPRESSORA
1.92,4,0.1,1,MICRO
4.08,4,0.1,1,MICRO
0.24,4,0.3,1,MICRO
24,0,1,1,ERRO
0.48,4,1,1,ERRO
4.08,4,0.1,1,MICRO
0.72,4,0.1,1,MICRO
24,4,1,1,MICRO
13.92,0,0.35,1,ERRO
0.24,4,0.3,1,MICRO
6,4,0.15,1,ERRO
6,4,15,1,ACESSO
0.24,4,0.3,1,IMPRESSORA
24,4,0.35,1,ACESSO
0.24,4,0.35,1,ERRO
0.24,4,1,1,SIHOSP
24,4,1,1,MICRO
2.88,4,0.1,1,MICRO
4.08,4,0.1,1,MICRO
0.72,4,0.1,1,MICRO
4.08,4,0.1,1,MICRO
24,4,1,1,BENNER
0.48,4,0.1,1,MICRO
7.92,4,0.35,1,BENNER
6,4,0.15,1,ERRO
12,4,0.3,1,IMPRESSORA
0.72,3,1,1,ACESSO
1.92,4,0.1,1,MICRO
10.08,4,25,1,IMPRESSORA
12,4,0.3,1,ACESSO
4.08,4,0.1,1,MICRO
24,4,1,1,ERRO
7.92,4,0.2,1,ERRO
24,4,1,1,IMPRESSORA
0.24,4,0.35,1,ACESSO
24,4,1,1,BENNER
24,4,1,1,ACESSO
12,4,0.3,1,BENNER
0.24,4,0.3,1,IMPRESSORA
1.92,3,0.3,1,ACESSO
0.72,4,0.1,1,MICRO
0.72,4,0.1,1,MICRO
0.72,4,0.1,1,MICRO
120,4,5,1,ACESSO
0.24,4,0.3,1,ERRO
12,4,0.3,1,ACESSO
96,4,4,1,MICRO
6,4,0.15,1,BENNER
0.72,4,0.1,1,MICRO
12,4,0.3,1,BENNER
72,4,3,1,MICRO
0.24,4,0.35,1,MICRO
48,4,2,1,MICRO
1.92,4,0.1,1,MICRO
0.24,4,0.3,1,BENNER
14.88,4,0.41,1,BENNER
0.24,4,0.3,1,ACESSO
6,4,0.15,1,BENNER
4.08,4,10,1,IMPRESSORA
0.24,4,0.3,1,IMPRESSORA
120,4,4,1,SIHOSP
12,4,0.3,1,IMPRESSORA
0.24,1,0.45,1,SIHOSP
10.08,0,0.31,1,ERRO
1.92,4,0.1,1,MICRO
14.88,4,0.45,1,BENNER
24,4,1,1,MICRO
12,4,0.3,1,IMPRESSORA
1.92,4,5,1,ERRO
1.92,4,0,1,ACESSO
4.08,4,0.3,1,ACESSO
0.24,4,0.3,1,ERRO
4.08,4,0,1,ACESSO
6,4,0,1,BENNER
0.24,4,0.45,1,ACESSO
1.92,4,0.1,1,MICRO
28.8,4,1,1,MICRO
4.08,4,0.1,1,MICRO
1.92,4,0.1,1,MICRO
0.72,4,0.1,1,MICRO
1.92,4,0.1,1,MICRO
4.08,0,1,1,SIHOSP
24,4,1,1,IMPRESSORA
24,4,1,1,BENNER
11.52,4,0.35,1,ERRO
2.4,4,0.1,1,MICRO
12,4,0.3,1,BENNER
12,4,30,1,SIHOSP
12,4,0.3,1,BENNER
24,0,1,1,ERRO
192,4,8,1,IMPRESSORA
0.24,4,0.35,1,IMPRESSORA
0.24,4,0.3,1,SIHOSP
1.2,4,0.1,1,MICRO
0.72,4,0.1,1,MICRO
0.24,4,0.35,1,ACESSO
36,4,1.5,1,MICRO
6,4,15,1,ERRO
0.72,4,0.1,1,MICRO
1.92,4,0.1,1,MICRO
24,4,1,1,ERRO
12,4,0.3,1,ACESSO
24,4,1,1,ACESSO
0.24,4,0.2,1,IMPRESSORA
24,4,1,1,BENNER
6,4,3,1,BENNER
0.72,4,0.1,1,MICRO
1.92,0,0.07,1,ERRO
7.92,4,0.1,1,ERRO
24,4,1,1,SIHOSP
120,4,5,1,IMPRESSORA
15.12,4,0.45,1,ERRO
24,4,1,1,BENNER
6,4,15,1,MICRO
6,4,15,1,MICRO
0.24,4,0.35,1,ERRO
0.24,4,0.35,1,IMPRESSORA
12,4,0.3,1,BENNER
6,4,0.59,1,ERRO
0.24,4,0.25,1,ACESSO
3.12,4,0.1,1,MICRO
24,4,1,1,MICRO
24,4,1,1,BENNER
0.24,4,0.3,1,ACESSO
24,4,1,1,ACESSO
48,4,2,1,BENNER
792,4,0,1,ACESSO
24,4,1,1,IMPRESSORA
1.68,1,0,1,ERRO
8.4,2,0,1,ERRO
0.72,4,0.1,1,MICRO
0.72,4,0.1,1,MICRO
12,4,0.3,1,ACESSO
120,4,0,1,MICRO
24,4,0,1,ACESSO
4.08,4,0,1,ERRO
0.48,4,1,1,ACESSO
24,4,1,1,ERRO
24,4,1,1,IMPRESSORA
12,4,0.3,1,ACESSO
24,4,1,1,MICRO
0.24,3,0.25,1,BENNER
1.2,4,0,1,ACESSO
2.4,4,0,1,ACESSO
24,4,1,1,IMPRESSORA
1.92,4,0,1,BENNER
4.32,4,0,1,SIHOSP
408,1,0,1,ERRO
4.08,1,0,1,BENNER
4.08,1,0,1,BENNER
4.08,1,0,1,BENNER
0.24,4,0.3,1,SIHOSP
10.8,3,27,1,BENNER
48,4,2,1,IMPRESSORA
24,4,1,1,IMPRESSORA
24,4,1,1,SIHOSP
1.68,1,0,1,ERRO
0.24,4,0.2,1,ACESSO
10.8,1,0,1,ERRO
0.24,4,0.25,1,ACESSO
4.08,4,0.3,1,BENNER
12,4,30,1,ACESSO
24,4,1,1,ERRO
1200,4,50,1,MICRO
4.08,3,1,1,BENNER
0.24,4,0.3,1,MICRO
24,4,1,1,MICRO
24,4,1,1,MICRO
4.08,4,1,1,ERRO
3.6,4,0.15,1,BENNER
120,4,1,1,MICRO
120,4,5,1,MICRO
12,4,0.3,1,BENNER
12,4,0.3,1,BENNER
12,4,0.3,1,ACESSO
408,4,0,1,ACESSO
103.2,4,4,1,MICRO
4.08,4,1,1,ERRO
48,4,2,1,IMPRESSORA
7.92,4,0.1,1,MICRO
7.92,4,20,1,MICRO
12,4,30,1,IMPRESSORA
0.72,4,0,1,ACESSO
1.92,4,0.1,1,MICRO
4.08,4,0,1,ACESSO
48,4,1,1,ERRO
0.24,4,0.35,1,SIHOSP
20.88,1,0,1,ACESSO
4.08,4,0,1,ACESSO
1.92,4,0,1,ACESSO
2.4,4,0,1,ERRO
0.72,4,0.1,1,MICRO
12,4,0.3,1,MICRO
1.92,4,0,1,ERRO
12,4,0.3,1,MICRO
12,4,0,1,BENNER
24,4,1,1,MICRO
72,4,3,1,MICRO
7.92,4,1,1,ERRO
1.2,4,0.1,1,MICRO
16.08,4,1,1,ACESSO
4.08,4,0,1,ERRO
12,4,1,1,BENNER
12,4,0.3,1,SIHOSP
24,0,1,1,ERRO
12,4,30,1,MICRO
24,4,1,1,SIHOSP
4.08,4,0,1,ERRO
12,4,0.3,1,ACESSO
12,4,0.3,1,ACESSO
7.92,4,0,1,ACESSO
0.24,4,0.3,1,ACESSO
7.92,4,0,1,SIHOSP
24,2,0,1,ERRO
10.08,4,0,1,BENNER
4.08,3,0.3,1,BENNER
4.08,4,0.1,1,MICRO
12,4,0.3,1,IMPRESSORA
48,4,1,1,MICRO
12,4,0.3,1,MICRO
24,4,0,1,ERRO
1.92,4,0,1,ACESSO
1.92,4,0.1,1,MICRO
0.24,4,0.3,1,IMPRESSORA
4.08,4,0.3,1,ERRO
24,4,0.3,1,BENNER
72,4,3,1,ACESSO
0.24,4,0.3,1,SIHOSP
4.08,4,1,1,ACESSO
0.48,4,0.1,1,MICRO
24,4,1,1,MICRO
24,4,1,1,IMPRESSORA
4.08,3,1,1,BENNER
75.84,4,3.16,1,SIHOSP
48,4,2,1,IMPRESSORA
120,4,1,1,ACESSO
144,4,8,1,MICRO
0.24,4,0.3,1,IMPRESSORA
16.08,4,1,1,BENNER
4.08,1,10,1,BENNER
24,4,1,1,IMPRESSORA
0.72,4,0.1,1,MICRO
24,4,1,1,BENNER
4.32,2,0,1,ERRO
4.08,4,0.1,1,MICRO
20.4,1,0,1,ERRO
7.92,2,1,1,BENNER
4.08,4,1,1,BENNER
7.92,4,20,1,MICRO
48,4,0,1,ERRO
48,4,2,1,MICRO
2.4,4,0,1,ERRO
4.08,4,0,1,ACESSO
18,2,0,1,ACESSO
4.08,4,0,1,ACESSO
600,4,0,1,BENNER
12,4,0.3,1,SIHOSP
12,4,0.3,1,BENNER
0.24,4,0.3,1,MICRO
4.08,1,0,1,BENNER
4.08,4,1,1,MICRO
0.24,4,0.3,1,ACESSO
10.08,4,0.5,1,ACESSO
120,4,1,1,ERRO
4.08,4,0,1,BENNER
4.08,4,1,1,SIHOSP
11.28,2,27,1,ERRO
1.92,4,0.1,1,SIHOSP
12,4,0,1,ACESSO
0.48,4,0.1,1,MICRO
24,4,1,1,BENNER
1.92,4,0.1,1,ERRO
4.08,4,0,1,ACESSO
24,4,1,1,IMPRESSORA
72,4,3,1,BENNER
0.24,4,0.4,1,ACESSO
1.68,4,0,1,ACESSO
12,4,15,1,MICRO
9.6,4,0,1,ACESSO
24,4,1,1,IMPRESSORA
7.92,4,0,1,ERRO
384,4,16,1,MICRO
600,4,0,1,ACESSO
120,4,10,1,MICRO
12,4,0.3,1,ACESSO
4.08,4,1,1,ACESSO
4.08,4,1,1,ERRO
0.72,4,0.1,1,MICRO
1.92,4,0.1,1,MICRO
19.68,0,0.55,1,MICRO
4.08,4,1,1,ERRO
48,4,2,1,IMPRESSORA
24,4,0,1,ERRO
24,4,0,1,SIHOSP
48,4,2,1,ERRO
4.08,4,0.3,1,ERRO
7.92,4,0.1,1,MICRO
0.48,4,1,1,ERRO
4.08,4,1,1,ERRO
1.92,4,0.3,1,ACESSO
4.08,4,0,1,ERRO
4.08,4,0,1,ACESSO
1.92,4,0.1,1,MICRO
1.92,4,0,1,SIHOSP
24,4,0,1,SIHOSP
24,4,0,1,ACESSO
24,4,0,1,BENNER
24,4,0,1,SIHOSP
24,4,0,1,SIHOSP
4.08,4,1,1,ERRO
4.08,4,1,1,ERRO
4.08,4,1,1,ERRO
1.92,4,0,1,ACESSO
4.08,4,1,1,SIHOSP
0.48,4,0,1,ACESSO
48,4,2,1,ERRO
12,4,0.3,1,BENNER
4.08,4,1,1,ERRO
24,4,1,1,ERRO
1.2,4,0,1,SIHOSP
1.2,4,0,1,SIHOSP
24,4,1,1,ACESSO
4.08,4,1,1,BENNER
4.08,4,1,1,ERRO
7.92,1,0,1,ERRO
4.08,4,0,1,ACESSO
7.92,4,0,1,BENNER
2.88,4,0,1,MICRO
2.88,4,0,1,MICRO
4.08,4,1,1,SIHOSP
6,4,10,1,MICRO
4.08,4,1,1,ERRO
48,4,0.3,1,ACESSO
0.48,4,1,1,ERRO
12,4,0.3,1,BENNER
144,4,6,1,MICRO
4.08,4,0.1,1,MICRO
72,4,1,1,ERRO
12,4,0.3,1,ACESSO
19.92,4,0.1,1,MICRO
0.24,4,0.3,1,ERRO
72,4,1,1,ERRO
1.92,4,0.1,1,MICRO
0.48,4,1,1,BENNER
24,4,1,1,MICRO
24,4,0,1,ACESSO
4.08,4,0.3,1,ACESSO
7.92,4,15,1,MICRO
72,4,3,1,MICRO
2.88,4,0.1,1,MICRO
24,4,1,1,IMPRESSORA
24,4,1,1,IMPRESSORA
12,4,0.3,1,BENNER
24,4,1,1,MICRO
0.72,4,0.1,1,MICRO
12,4,0.3,1,SIHOSP
4.08,4,0.1,1,MICRO
24,4,1,1,IMPRESSORA
24,4,1,1,IMPRESSORA
0.24,4,0.3,1,MICRO
0.48,4,1,1,BENNER
0.24,4,0.2,1,BENNER
1.2,4,0.1,1,MICRO
4.08,4,0,1,ACESSO
72,4,2,1,IMPRESSORA
600,4,1,1,ACESSO
24,4,1,1,IMPRESSORA
24,4,0,1,SIHOSP
192,4,8,1,MICRO
24,4,0,1,SIHOSP
48,4,1,1,ERRO
7.92,4,0,1,ACESSO
1.92,4,0.1,1,MICRO
12,2,0,1,ERRO
24,4,0,1,ERRO
4.08,4,0,1,SIHOSP
4.08,4,0,1,SIHOSP
288,4,0,1,ERRO
23.52,0,59,1,ERRO
0.72,4,0.1,1,MICRO
4.08,4,1,1,SIHOSP
12,4,0.3,1,MICRO
408,4,0,1,ERRO
72,4,3,1,MICRO
96,4,4,1,MICRO
72,4,2,1,IMPRESSORA
24,4,0,1,SIHOSP
24,4,0,1,BENNER
24,4,0,1,IMPRESSORA
24,4,0,1,ERRO
24,4,0,1,ERRO
4.08,4,0,1,ACESSO
24,4,0,1,SIHOSP
12,4,0,1,BENNER
4.08,4,10,1,BENNER
12,4,0.3,1,MICRO
16.32,4,0,1,ERRO
72,4,3,1,MICRO
1.92,4,0.3,1,SIHOSP
24,4,0,1,ERRO
24,4,0,1,ERRO
24,4,1,1,ERRO
12,4,30,1,IMPRESSORA
792,4,0,1,ACESSO
12.72,4,0,1,ACESSO
12,4,0.3,1,ACESSO
12,3,0.3,1,ACESSO
12,4,0.3,1,ACESSO
4.08,4,1,1,BENNER
48,4,1,1,SIHOSP
1.92,4,0,1,BENNER
0.72,4,0.1,1,MICRO
12,4,30,1,MICRO
4.8,4,0,1,ERRO
24,4,1,1,BENNER
408,4,0,1,SIHOSP
408,4,0,1,ACESSO
16.8,1,0,1,ERRO
10.32,4,0,1,BENNER
4.8,1,0,1,ACESSO
6,4,15,1,ERRO
12,4,0.3,1,ACESSO
24,4,0,1,ERRO
0.72,4,0,1,ACESSO
7.92,4,0,1,BENNER
72,4,3,1,MICRO
48,4,1,1,MICRO
12,4,0.3,1,SIHOSP
0.24,4,0.3,1,MICRO
0.72,4,0.1,1,MICRO
0.72,4,0.1,1,MICRO
4.08,4,0,1,BENNER
4.08,4,0.3,1,ACESSO
12,4,30,1,IMPRESSORA
0.24,4,0.35,1,ACESSO
12,2,1,1,ERRO
5.52,4,0,1,ACESSO
1.92,4,0.1,1,MICRO
24,4,1,1,SIHOSP
12,4,0.3,1,ACESSO
4.08,4,0.3,1,ERRO
12,4,0.3,1,MICRO
4.08,4,0,1,BENNER
4.08,4,0,1,ERRO
34.32,2,1.45,1,ERRO
7.92,4,1,1,MICRO
24,4,0,1,ERRO
12,4,0.3,1,IMPRESSORA
10.32,4,0.26,1,ERRO
12,4,0.3,1,BENNER
1.92,4,0.1,1,MICRO
1.92,4,0.1,1,MICRO
4.32,4,0.15,1,BENNER
48,4,2,1,BENNER
6,0,0.15,1,BENNER
0.24,4,0.3,1,ACESSO
2448,4,115,1,ACESSO
6,4,0.15,1,BENNER
54,4,2.3,1,ERRO
19.92,4,50,1,MICRO
4.08,4,10,1,MICRO
7.92,4,20,1,MICRO
12,4,30,1,BENNER
7.92,4,0.2,1,IMPRESSORA
6,4,15,1,MICRO
7.92,4,0.2,1,IMPRESSORA
96,4,4,1,BENNER
17.28,4,0.45,1,ERRO
12,4,0.3,1,ACESSO
7.92,4,20,1,MICRO
7.92,4,2,1,MICRO
24,4,1,1,ACESSO
7.92,4,20,1,IMPRESSORA
0.24,4,2,1,IMPRESSORA
2.88,4,0.07,1,ERRO
7.92,4,20,1,ERRO
6,4,15,1,IMPRESSORA
12,4,30,1,ACESSO
72,4,3,1,MICRO
6,4,15,1,MICRO
24,4,1,1,MICRO
24,4,1,1,ERRO
7.92,4,0.2,1,MICRO
7.92,4,0.2,1,ERRO
12,4,0.3,1,BENNER
6,4,0.15,1,SIHOSP
4.08,4,1,1,MICRO
48,4,2,1,BENNER
288,4,12,1,MICRO
6,4,15,1,MICRO
6,4,15,1,MICRO
7.92,4,0.2,1,IMPRESSORA
13.92,4,0.35,1,BENNER
16.08,4,40,1,MICRO
6,4,0.15,1,BENNER
24,4,1,1,ERRO
120,4,5,1,MICRO
12,4,0.3,1,SIHOSP
6,4,30,1,ACESSO
144,4,6,1,MICRO
0.48,0,10,1,ERRO
6,4,0.15,1,BENNER
12,4,0.3,1,ACESSO
13.92,4,0.35,1,ERRO
12,4,0.3,1,SIHOSP
6,4,15,1,MICRO
12,4,0.3,1,SIHOSP
12,1,0.3,1,SIHOSP
12,4,0.3,1,SIHOSP
12,4,0.3,1,SIHOSP
12,4,0.3,1,SIHOSP
120,4,5,1,IMPRESSORA
12,4,0.3,1,BENNER
48,4,0.15,1,BENNER
13.92,4,35,1,ERRO
10.08,4,25,1,IMPRESSORA
16.08,4,40,1,IMPRESSORA
24,4,1,1,IMPRESSORA
24,4,1,1,BENNER
12,4,0.3,1,ACESSO
12,4,0.3,1,ACESSO
192,4,8,1,MICRO
72,4,3,1,MICRO
4.08,4,10,1,ACESSO
7.92,4,0.2,1,ERRO
4.08,4,1,1,ERRO
192,4,8,1,ACESSO
288,4,12,1,MICRO
9.12,4,1,1,SIHOSP
6,4,15,1,MICRO
96,4,4,1,MICRO
