TEMPO,TIPO,ANO
34.49,SIHOSP,2009
63.62,MICRO,2009
93.35,SIHOSP,2009
93.48,ERRO,2009
48.4,SIHOSP,2009
82.3,SIHOSP,2009
10.64,SIHOSP,2009
19.65,ACESSO,2009
19.59,MICRO,2009
53.58,ERRO,2009
56.68,ERRO,2009
73.61,IMPRESSORA,2009
20.6,IMPRESSORA,2009
6.64,ERRO,2009
20.59,MICRO,2009
39.48,MICRO,2009
39.58,SIHOSP,2009
41.5,ERRO,2009
35.32,ACESSO,2009
59.33,MICRO,2009
59.32,MICRO,2009
14.26,MICRO,2009
5.26,SIHOSP,2009
5.36,SIHOSP,2009
8.5,ERRO,2009
41.48,SIHOSP,2009
14.48,SIHOSP,2009
10.5,MICRO,2009
15.49,ERRO,2009
7.36,ERRO,2009
28.56,ACESSO,2009
9.31,MICRO,2009
1.35,ACESSO,2009
55.37,MICRO,2009
31.32,MICRO,2009
57.68,ERRO,2009
55.36,ERRO,2009
31.36,ACESSO,2009
34.3,MICRO,2009
8.5,IMPRESSORA,2009
18.57,IMPRESSORA,2009
7.34,SIHOSP,2009
61.31,ERRO,2009
52.66,IMPRESSORA,2009
52.65,IMPRESSORA,2009
52.65,IMPRESSORA,2009
2.48,MICRO,2009
7.28,SIHOSP,2009
5.62,ERRO,2009
1.61,SIHOSP,2009
22.61,ACESSO,2009
59.67,MICRO,2009
1.53,MICRO,2009
9.51,MICRO,2009
1.51,IMPRESSORA,2009
1.51,MICRO,2009
85.6,IMPRESSORA,2009
3.59,SIHOSP,2009
2.59,SIHOSP,2009
4.58,SIHOSP,2009
1.58,MICRO,2009
1.58,IMPRESSORA,2009
51.35,SIHOSP,2009
9.65,IMPRESSORA,2009
9.64,ERRO,2009
1.63,MICRO,2009
9.61,MICRO,2009
1.61,SIHOSP,2009
1.6,IMPRESSORA,2009
1.6,MICRO,2009
9.59,MICRO,2009
9.59,MICRO,2009
23.48,MICRO,2009
9.63,IMPRESSORA,2009
22.62,SIHOSP,2009
11.62,SIHOSP,2009
4.57,IMPRESSORA,2009
9.57,MICRO,2009
1.57,IMPRESSORA,2009
1.56,IMPRESSORA,2009
1.56,MICRO,2009
1.54,IMPRESSORA,2009
85.53,IMPRESSORA,2009
85.62,IMPRESSORA,2009
1.62,IMPRESSORA,2009
11.62,SIHOSP,2009
62.61,IMPRESSORA,2009
85.61,IMPRESSORA,2009
9.61,MICRO,2009
1.61,MICRO,2009
4.6,SIHOSP,2009
11.6,MICRO,2009
1.6,MICRO,2009
11.6,IMPRESSORA,2009
85.6,IMPRESSORA,2009
7.37,ACESSO,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
65.53,SIHOSP,2009
9.58,IMPRESSORA,2009
1.36,ACESSO,2009
13.36,ERRO,2009
1.26,ERRO,2009
4.39,IMPRESSORA,2009
85.58,IMPRESSORA,2009
9.58,SIHOSP,2009
85.58,IMPRESSORA,2009
22.57,ERRO,2009
1.57,MICRO,2009
85.57,IMPRESSORA,2009
85.57,IMPRESSORA,2009
85.57,IMPRESSORA,2009
85.57,IMPRESSORA,2009
9.57,ERRO,2009
85.56,IMPRESSORA,2009
8.37,MICRO,2009
1.56,MICRO,2009
85.56,IMPRESSORA,2009
11.56,ERRO,2009
85.56,IMPRESSORA,2009
9.55,ERRO,2009
11.55,MICRO,2009
1.55,MICRO,2009
85.55,IMPRESSORA,2009
65.54,SIHOSP,2009
65.54,SIHOSP,2009
35.38,MICRO,2009
65.53,SIHOSP,2009
1.53,MICRO,2009
5.53,ERRO,2009
85.52,IMPRESSORA,2009
9.52,MICRO,2009
22.52,IMPRESSORA,2009
9.52,MICRO,2009
9.51,IMPRESSORA,2009
1.22,IMPRESSORA,2009
9.48,SIHOSP,2009
19.23,IMPRESSORA,2009
22.51,MICRO,2009
9.51,MICRO,2009
9.49,MICRO,2009
6.35,MICRO,2009
7.24,ACESSO,2009
7.24,ACESSO,2009
13.2,MICRO,2009
19.19,MICRO,2009
9.45,MICRO,2009
9.45,MICRO,2009
5.45,SIHOSP,2009
9.48,IMPRESSORA,2009
9.48,IMPRESSORA,2009
1.48,MICRO,2009
9.48,MICRO,2009
13.28,SIHOSP,2009
1.47,MICRO,2009
1.47,MICRO,2009
1.47,MICRO,2009
1.47,IMPRESSORA,2009
9.46,IMPRESSORA,2009
4.46,MICRO,2009
4.46,MICRO,2009
8.46,IMPRESSORA,2009
9.46,SIHOSP,2009
22.46,IMPRESSORA,2009
1.45,SIHOSP,2009
9.46,SIHOSP,2009
9.45,IMPRESSORA,2009
4.45,MICRO,2009
1.45,ERRO,2009
43.32,MICRO,2009
22.53,MICRO,2009
22.53,MICRO,2009
5.52,ERRO,2009
9.67,IMPRESSORA,2009
9.67,SIHOSP,2009
9.66,SIHOSP,2009
9.44,MICRO,2009
9.44,MICRO,2009
9.44,SIHOSP,2009
5.44,SIHOSP,2009
9.44,IMPRESSORA,2009
9.44,IMPRESSORA,2009
1.44,MICRO,2009
9.43,MICRO,2009
79.26,SIHOSP,2009
79.25,ACESSO,2009
2.66,ERRO,2009
1.65,MICRO,2009
85.64,IMPRESSORA,2009
1.64,MICRO,2009
62.63,IMPRESSORA,2009
9.63,ACESSO,2009
1.63,IMPRESSORA,2009
1.43,MICRO,2009
11.43,MICRO,2009
10.43,IMPRESSORA,2009
9.43,ERRO,2009
24.31,MICRO,2009
39.3,MICRO,2009
13.61,ACESSO,2009
28.62,MICRO,2009
29.49,MICRO,2009
17.61,IMPRESSORA,2009
68.36,SIHOSP,2009
68.36,SIHOSP,2009
5.32,SIHOSP,2009
12.51,SIHOSP,2009
3.3,SIHOSP,2009
11.32,MICRO,2009
2.65,ERRO,2009
5.26,ERRO,2009
5.26,ERRO,2009
1.66,MICRO,2009
2.66,IMPRESSORA,2009
19.51,ERRO,2009
4.36,ERRO,2009
39.3,MICRO,2009
39.3,MICRO,2009
39.3,MICRO,2009
39.29,IMPRESSORA,2009
4.35,MICRO,2009
38.32,IMPRESSORA,2009
15.38,MICRO,2009
20.47,ERRO,2009
20.24,MICRO,2009
59.58,MICRO,2009
1.51,IMPRESSORA,2009
7.3,MICRO,2009
31.26,IMPRESSORA,2009
7.26,ACESSO,2009
6.52,MICRO,2009
5.35,ERRO,2009
2.46,ERRO,2009
3.46,IMPRESSORA,2009
2.31,ACESSO,2009
2.31,SIHOSP,2009
1.34,ERRO,2009
3.31,ERRO,2009
20.57,SIHOSP,2009
20.57,MICRO,2009
6.51,ERRO,2009
30.47,IMPRESSORA,2009
68.37,SIHOSP,2009
68.37,SIHOSP,2009
68.37,SIHOSP,2009
68.37,SIHOSP,2009
1.48,SIHOSP,2009
33.58,MICRO,2009
20.57,MICRO,2009
20.56,MICRO,2009
33.55,MICRO,2009
33.55,MICRO,2009
33.52,MICRO,2009
33.51,MICRO,2009
2.55,MICRO,2009
46.57,SIHOSP,2009
35.34,SIHOSP,2009
35.34,SIHOSP,2009
33.51,MICRO,2009
2.51,MICRO,2009
3.55,MICRO,2009
8.55,ERRO,2009
34.53,ERRO,2009
4.55,MICRO,2009
4.38,SIHOSP,2009
