TEMPO,NRO_IMPACTO,NRO_AVALIACAO,TIPO
2.98,4,6,MICRO
2.83,4,6,IMPRESSORA
1.96,4,6,IMPRESSORA
1.11,3,6,SIHOSP
1.65,4,6,BENNER
6.82,3,6,SIHOSP
3.72,4,6,IMPRESSORA
3.02,4,6,BENNER
1.31,4,6,SIHOSP
1.04,4,6,IMPRESSORA
1.99,4,6,ACESSO
4.27,4,6,ERRO
1.19,4,6,ERRO
2.98,4,6,IMPRESSORA
2.04,4,6,IMPRESSORA
2.04,4,6,IMPRESSORA
8.13,4,6,MICRO
3.07,4,6,ERRO
4.2,4,6,MICRO
1.98,4,6,IMPRESSORA
3.29,4,6,BENNER
6.74,4,6,SIHOSP
1.1,4,6,ERRO
1,4,6,MICRO
6.01,4,6,MICRO
1.74,4,6,ERRO
9.36,4,6,ERRO
1.2,4,6,ERRO
4.09,4,6,MICRO
11.38,3,6,SIHOSP
3.46,4,6,MICRO
6.98,4,6,IMPRESSORA
4.16,4,6,IMPRESSORA
2.03,4,6,IMPRESSORA
4.83,4,6,IMPRESSORA
1.06,4,6,MICRO
2,4,6,ERRO
1.06,4,6,IMPRESSORA
2.75,4,6,SIHOSP
6.03,4,6,MICRO
2.1,4,6,MICRO
6.4,4,6,MICRO
1.04,4,6,ACESSO
1.12,3,6,MICRO
7.99,4,6,SIHOSP
2.03,4,6,ERRO
7.84,4,6,SIHOSP
2.87,3,6,BENNER
2.02,4,6,IMPRESSORA
2.02,4,6,IMPRESSORA
1,4,6,BENNER
1.31,4,6,IMPRESSORA
1.03,4,6,IMPRESSORA
1.34,4,6,ERRO
4.31,4,6,BENNER
3.07,4,6,IMPRESSORA
3.09,4,6,IMPRESSORA
1.93,4,6,ERRO
5.28,4,6,MICRO
6.92,4,6,ERRO
1.26,4,6,MICRO
2.18,4,6,MICRO
1.88,4,6,ERRO
3.02,4,6,BENNER
4.97,4,6,SIHOSP
6.08,4,6,IMPRESSORA
1.81,4,6,ERRO
7.91,4,6,IMPRESSORA
3.99,4,6,MICRO
3.1,0,6,ERRO
1.02,3,6,BENNER
3.89,4,6,ACESSO
3.73,4,6,IMPRESSORA
1.18,4,6,MICRO
1.87,4,6,IMPRESSORA
9.91,4,6,MICRO
1.13,4,6,ACESSO
6.9,0,6,SIHOSP
1.13,4,6,SIHOSP
1.04,4,6,SIHOSP
1.06,4,6,ERRO
1.83,4,6,MICRO
1.32,4,6,IMPRESSORA
3.15,4,6,IMPRESSORA
11.82,3,6,SIHOSP
