TEMPO,NRO_IMPACTO,TIPO
0.25,4,ERRO
4,4,SIHOSP
1,4,MICRO
0.5,4,BENNER
1,4,SIHOSP
8,4,MICRO
0.33,4,IMPRESSORA
1,4,ACESSO
0.33,4,ACESSO
338,4,SIHOSP
1,4,MICRO
129,4,ERRO
0.17,4,MICRO
0.01,4,MICRO
0.33,4,ERRO
1,4,SIHOSP
6.5,4,MICRO
2,4,ERRO
0.33,4,ACESSO
0.08,4,BENNER
0.01,4,SIHOSP
0.25,4,MICRO
0.17,4,IMPRESSORA
0.5,4,ERRO
4.35,4,ERRO
0.5,4,MICRO
0.01,4,ERRO
0.33,4,IMPRESSORA
0.67,4,ERRO
0.17,4,MICRO
1,4,SIHOSP
1,4,MICRO
0.5,4,SIHOSP
110,4,ACESSO
0.01,4,MICRO
0.17,4,MICRO
0.25,4,IMPRESSORA
5,4,SIHOSP
0.17,4,IMPRESSORA
0.01,3,SIHOSP
0.58,3,SIHOSP
0.8,4,SIHOSP
0.33,4,IMPRESSORA
0.01,4,ACESSO
0.1,4,BENNER
0.08,3,BENNER
2,4,IMPRESSORA
0.33,4,IMPRESSORA
0.33,4,IMPRESSORA
0.5,3,MICRO
3.14,4,ERRO
0.72,4,ERRO
1,4,BENNER
0.33,4,IMPRESSORA
0.5,4,MICRO
0.33,4,IMPRESSORA
3.07,4,ERRO
0.17,4,MICRO
0.33,4,IMPRESSORA
0.33,4,IMPRESSORA
0.33,4,IMPRESSORA
0.17,3,MICRO
0.08,3,BENNER
0.25,4,BENNER
131,4,ERRO
1.06,4,ERRO
0.17,4,MICRO
0.17,4,IMPRESSORA
1,4,SIHOSP
0.5,4,ACESSO
0.01,4,MICRO
0.17,4,IMPRESSORA
0.33,4,IMPRESSORA
0.33,4,IMPRESSORA
3,4,MICRO
0.17,4,MICRO
1.5,4,SIHOSP
0.17,4,MICRO
1,4,MICRO
0.17,4,IMPRESSORA
0.62,4,ERRO
0.33,4,MICRO
0.17,4,IMPRESSORA
0.25,4,BENNER
0.17,4,MICRO
0.01,4,MICRO
0.33,4,IMPRESSORA
0.5,4,IMPRESSORA
0.33,4,IMPRESSORA
0.25,4,ACESSO
0.33,4,IMPRESSORA
200,4,SIHOSP
0.5,4,ERRO
4,4,SIHOSP
350,4,MICRO
0.28,0,ERRO
0.01,4,BENNER
0.5,4,ACESSO
0.25,4,ERRO
0.01,4,SIHOSP
0.5,4,ERRO
0.25,4,BENNER
1,4,SIHOSP
0.5,4,BENNER
0.5,4,ERRO
155,4,SIHOSP
0.17,4,MICRO
0.5,4,ERRO
0.18,4,BENNER
0.33,4,IMPRESSORA
5,4,SIHOSP
0.17,4,BENNER
200,4,MICRO
1,3,SIHOSP
0.07,4,BENNER
0.42,4,ERRO
1,4,MICRO
0.33,4,MICRO
3,4,MICRO
0.5,4,ERRO
0.83,4,IMPRESSORA
0.83,4,IMPRESSORA
3.2,4,MICRO
0.01,4,SIHOSP
0.5,4,SIHOSP
0.25,3,ERRO
0.83,4,IMPRESSORA
0.25,2,ERRO
0.33,4,IMPRESSORA
0.08,4,BENNER
0.17,4,SIHOSP
0.17,1,ERRO
0.01,4,ACESSO
0.5,0,ERRO
0.17,4,MICRO
0.17,4,MICRO
0.5,4,ERRO
0.17,4,MICRO
0.05,4,BENNER
1.4,3,ERRO
0.17,4,MICRO
0.33,4,IMPRESSORA
0.5,4,ERRO
2,3,SIHOSP
0.25,3,ERRO
0.25,3,BENNER
0.17,4,IMPRESSORA
0.25,4,SIHOSP
0.33,4,IMPRESSORA
1,4,MICRO
0.01,3,ACESSO
4,3,SIHOSP
0.25,4,ERRO
0.33,4,MICRO
1,4,IMPRESSORA
0.33,4,IMPRESSORA
1,4,MICRO
0.25,4,MICRO
0.33,4,ACESSO
0.33,4,IMPRESSORA
0.17,4,MICRO
0.17,4,ERRO
0.17,4,ACESSO
400,4,MICRO
1.5,4,ERRO
0.33,4,IMPRESSORA
0.33,4,IMPRESSORA
0.5,4,BENNER
0.33,4,IMPRESSORA
